Group,Sub_Contructor,TP_value,TP_No,Step,Major_Priority,Sub_system,Test_media,Test_pressure,Inch_meter,Inch_dia,Support_Remain,Weld_Remain,Total_Support,SP_Welded,Total_DIA,WELD_DONE,Welding %,Package_Generation,Execution_Work,NDT,HS,LC,CL,H/V/P,DD,FC,RE,FD,Remark,RT_REMAIN(Joint),PT_REMAIN(Joint),PWHT_REMAIN(Joint),UT_REMAIN(Joint),PMI_REMAIN(Joint),REPAIR,Cutout,RTRP
01-Execution,-,-,-,01-Welding in progress,-,-,-,-,0,10861,1,549.300003051758,1,0,7823.05000305176,7273.75,0.929784418757713,✓,,,,,,,,,,,,25,22,5,21,,7,0,32
01-Execution,-,0205,61-WWO-UG-205A,00-Package_Generation,UG,4000-09,WATER,15,285,1,0,0,,,,0,,✓,,,,,,,,,,,DELETED,,,,,,,,
01-Execution,-,0209,61-WWO-UG-209A,00-Package_Generation,UG,4000-09,WATER,15,125,63,0,0,,,,0,,✓,,,,,,,,,,,DELETED,,,,,,,,
01-Execution,-,0243,70-WWS-UG-243,00-Package_Generation,UG,4000-10,WATER,12,112,87,0,0,,,,0,,✓,,,,,,,,,,,مربوط به شرق سایت,,,,,,,,
01-Execution,HSP,0170,2000-04-RFG-01-170,01-Welding in progress,-,2000-04,WATER,56.6,0,2176.25,12,675.25,17,5,2114.25,1439,0.680619605060896,✓,,,,,,,,,,,,5,,4,,,0,0,5
01-Execution,HSP,0256,4000-14-FW-19-256,01-Welding in progress,-,4000-14,WATER,25.5,0,77.25,1,28.5,1,0,76.5,48,0.627450980392157,✓,,,,,,,,,,,,1,,,,,0,0,1
01-Execution,HSP,0380,5000-04-PMP-20-380,01-Welding in progress,-,5000-04,WATER,82.5,0,18,0,12.75,,,18,5.25,0.291666666666667,✓,,,,,,,,,,,,,,,,,,,
01-Execution,HSP,0385,2000-04-RFG-06-385,01-Welding in progress,A,2000-04,DEM WATER,45.7,0,943.5,0,0,2,2,909.5,909.5,1,✓,,,,,,,,,,,,,,,,,,,
01-Execution,HSP,0407,1000-01-NG-02-407,01-Welding in progress,-,1000-01,WATER,10.5,0,723,15,181,15,0,717.75,536.75,0.747823058167886,✓,,,,,,,,,,,,0,,,,,0,1,1
01-Execution,HSP,0410,1000-03-BD-02-410,01-Welding in progress,A,1000-03,DEM WATER,94.2,0,345.75,3,18,13,10,345.75,327.75,0.947939262472885,✓,,,,,,,,,,,,67,,,,,0,0,67
01-Execution,HSP,0425,4000-08-CWR-95-425,01-Welding in progress,-,4000-08,WATER,11.25,0,18.75,0,14.25,,,18.75,4.5,0.24,✓,,,,,,,,,,,,,,,,,,,
01-Execution,HSP,0426,4000-08-CWR-96-426,01-Welding in progress,-,4000-08,WATER,11.25,0,18.75,0,6,,,18.75,12.75,0.68,✓,,,,,,,,,,,,,,,,,,,
01-Execution,HSP,0427,4000-08-CWR-97-427,01-Welding in progress,-,4000-08,WATER,11.25,0,18.75,0,1.5,,,17.25,15.75,0.91304347826087,✓,,,,,,,,,,,,,,,,,,,
01-Execution,HSP,0429,2000-04-RFG-02-429,01-Welding in progress,-,2000-04,WATER,63.6,0,2025.75,1,1153.5,1,0,1867.5,714,0.382329317269076,✓,,,,,,,,,,,,,,,,,,,
01-Execution,HSP,0442,4000-02-VA-02-442,01-Welding in progress,A,4000-02,VISUAL,0,0,704,8,0,12,4,704,704,1,✓,,,,,,,,,,,,1,,,,,0,0,1
01-Execution,HSP,0451,2000-02-VA-01-451,01-Welding in progress,-,2000-02,VISUAL,0,0,177,3,0,3,0,177,177,1,✓,,,,,,,,,,,,0,,,,,0,0,0
01-Execution,HSP,0511,4000-05-CBD-01-511,01-Welding in progress,-,4000-05,WATER,196,0,175.25,4,73.25,4,0,175.25,102,0.582025677603424,✓,,,,,,,,,,,,1,,,,,0,0,1
01-Execution,HSP,0516,4000-08-CWR-107-516,01-Welding in progress,REF,4000-08,WATER,11.25,0,57.75,0,1,,,57.75,56.75,0.982683982683983,✓,,,,,,,,,,,,,,,,,,,
01-Execution,HSP,0517,4000-08-CWR-108-517,01-Welding in progress,REF,4000-08,WATER,11.25,0,50.75,0,1.25,,,50.75,49.5,0.975369458128079,✓,,,,,,,,,,,,,,,,,,,
01-Execution,HSP,0522,2000-01-PRG-02-522,01-Welding in progress,REF,2000-01,WATER,208.1,0,684,2,204,2,0,684,480,0.701754385964912,✓,,,,,,,,,,,,1,,,4,,1,0,2
01-Execution,HSP,0523,4000-08-CWS-84-523,01-Welding in progress,REF,4000-08,WATER,11.25,0,43.75,0,1.25,,,43.75,42.5,0.971428571428571,✓,,,,,,,,,,,,,,,,,,,
01-Execution,HSP,0524,4000-08-CWS-85-524,01-Welding in progress,REF,4000-08,WATER,11.25,0,49.75,0,1.75,,,49.75,48,0.964824120603015,✓,,,,,,,,,,,,,,,,,,,
01-Execution,HSP,0529,2000-02-HPS-01-529,01-Welding in progress,REF,2000-02,WATER,128.7,0,276,0,4.5,2,2,274.5,270,0.983606557377049,✓,,,,,,,,,,,,2,,,,,1,0,3
01-Execution,HSP,0530,2000-01-PRG-03-530,01-Welding in progress,REF,2000-01,WATER,113,0,529.5,0,0,1,1,505.5,505.5,1,✓,,,,,,,,,,,,,,,,,,,
01-Execution,HSP,0531,2000-02-HPS-02-531,01-Welding in progress,REF,2000-02,WATER,128.7,0,211.75,0,3,1,1,210.25,207.25,0.985731272294887,✓,,,,,,,,,,,,1,,,,,2,0,3
01-Execution,HSP,0532,4000-04-BFW-02-532,01-Welding in progress,REF,4000-04,WATER,120,0,46.75,0,3.75,,,45.25,41.5,0.917127071823204,✓,,,,,,,,,,,,,,,,,,,
01-Execution,HSP,0533,3000-04-HG-02-533,01-Welding in progress,REF,3000-04,WATER,91.8,0,106.5,0,0.75,,,106.5,105.75,0.992957746478873,✓,,,,,,,,,,,,1,,,,,0,0,1
01-Execution,HSP,0546,2000-03-PDT-01-546,00-Package_Generation,-,2000-03,DEM WATER,HOLD,0,21,0,21,,,21,0,0,✓,,,,,,,,,,,,,,,,,,,
01-Execution,HSP,0547,2000-03-PDT-02-547,00-Package_Generation,-,2000-03,DEM WATER,HOLD,0,19,0,19,,,19,0,0,✓,,,,,,,,,,,,,,,,,,,
01-Execution,HSP,0548,2000-03-PDT-03-548,00-Package_Generation,-,2000-03,DEM WATER,HOLD,0,57,0,57,,,57,0,0,✓,,,,,,,,,,,,,,,,,,,
01-Execution,HSP,0549,2000-03-PDT-04-549,00-Package_Generation,-,2000-03,DEM WATER,HOLD,0,56.5,0,56.5,,,56.5,0,0,✓,,,,,,,,,,,,,,,,,,,
01-Execution,HSP,0560,2000-04-VA-01-560,01-Welding in progress,-,2000-04,VISUAL,0,0,590,15,100,15,0,590,490,0.830508474576271,✓,,,,,,,,,,,,0,,,,,1,0,1
01-Execution,HSP,0562,2000-04-VA-02-562,01-Welding in progress,-,2000-04,WATER,38,0,103.75,1,63,1,0,103,40,0.388349514563107,✓,,,,,,,,,,,,,,,,,,,
01-Execution,HSP,0579,1000-02-FG-02-579,01-Welding in progress,-,1000-02,WATER,10.5,0,138.5,1,0,2,1,138.5,138.5,1,✓,,,,,,,,,,,,,,,,,,,
01-Execution,HSP,0610,4000-02-HPS-05-610,01-Welding in progress,A,4000-02,DEM WATER,103.8,0,1018,0,62.75,21,21,1016.5,953.75,0.938268568617806,✓,,,,,,,,,,,,,,,,,,,
01-Execution,HSP,0653,2000-04-VA-05-653,00-Package_Generation,-,2000-04,WATER,196,0,16.5,0,13.5,,,13.5,0,0,✓,,,,,,,,,,,,,,,,,,,
01-Execution,HSP,0665,4000-05-VA-02-665,01-Welding in progress,-,4000-05,WATER,5.25,0,85,2,14,2,0,85,71,0.835294117647059,✓,,,,,,,,,,,در حال اجرای ساپورت,,,,,,,,
01-Execution,HSP,0678,2000-01-VA-01-678,01-Welding in progress,-,2000-01,VISUAL,0,0,85.25,0,1.5,3,3,84.5,83,0.982248520710059,✓,,,,,,,,,,,,,,,,,,,
01-Execution,HSP,0680,2000-03-VA-01-680,01-Welding in progress,-,2000-03,VISUAL,0,0,2,2,0,2,0,2,2,1,✓,,,,,,,,,,,,,,,,,,,
01-Execution,HSP,0681,2000-03-VA-02-681,00-Package_Generation,-,2000-03,VISUAL,0,0,46.25,4,45.5,4,0,45.5,0,0,✓,,,,,,,,,,,,,,,,,,,
01-Execution,HSP,0682,2000-03-VA-03-682,01-Welding in progress,-,2000-03,VISUAL,0,0,47.25,1,22.5,1,0,46.5,24,0.516129032258065,✓,,,,,,,,,,,,,,,,,,,
01-Execution,HSP,0683,2000-04-VA-04-683,01-Welding in progress,-,2000-04,WATER,17.5,0,132,2,64,2,0,132,68,0.515151515151515,✓,,,,,,,,,,,,1,,,,,0,0,1
01-Execution,HSP,0684,2000-04-HHPS-01-684,00-Package_Generation,-,2000-04,WATER,197.6,0,0,0,0,,,0,0,,✓,,,,,,,,,,,,,,,,,,,
01-Execution,HSP,0686,2000-04-VA-06-686,01-Welding in progress,-,2000-04,WATER,86.5,0,4.5,0,1,,,4,3,0.75,✓,,,,,,,,,,,,,,,,,,,
01-Execution,HSP,0756,4000-04-VA-10-756,00-Package_Generation,-,4000-04,VISUAL,0,0,2.5,0,2.5,,,2.5,0,0,✓,,,,,,,,,,,,,,,,,,,
01-Execution,HSP,0757,2000-03-VA-04-757,01-Welding in progress,-,2000-03,VISUAL,0,0,91,3,12,3,0,91,79,0.868131868131868,✓,,,,,,,,,,,,,,,,,,,
01-Execution,HSP,0780,2000-03-PO-03-780,01-Welding in progress,-,2000-03,DEM WATER,96.4,0,297,5,207,5,0,297,90,0.303030303030303,✓,,,,,,,,,,,,,,,,,,,
01-Execution,HSP,0789,4000-05-BD-07-789,01-Welding in progress,-,4000-05,WATER,197.7,0,239.25,8,109.75,8,0,239.25,129.5,0.541274817136886,✓,,,,,,,,,,,,0,,,,,0,2,2
01-Execution,HSP,0797,4000-05-BD-11-797,01-Welding in progress,-,4000-05,WATER,15.75,0,63.5,1,18,1,0,62,44,0.709677419354839,✓,,,,,,,,,,,,2,,,,,0,0,2
01-Execution,HSP,0798,4000-05-BD-12-798,01-Welding in progress,-,4000-05,WATER,9,0,47.75,1,19,1,0,47,28,0.595744680851064,✓,,,,,,,,,,,,,,,,,,,
01-Execution,HSP,0799,4000-05-BD-13-799,01-Welding in progress,-,4000-05,WATER,5.25,0,12,0,0,,,12,12,1,✓,,,,,,,,,,,,,,,,,,,
01-Execution,HSP,0800,2000-04-BFW-02-800,01-Welding in progress,-,2000-04,WATER,196,0,121.5,0,78,,,121.5,43.5,0.358024691358025,✓,,,,,,,,,,,,,,,,,,,
01-Execution,HSP,0802,4000-02-BFW-01-802,00-Package_Generation,-,4000-02,WATER,5.2,0,9.5,0,9,,,9,0,0,✓,,,,,,,,,,,,,,,,,,,
01-Execution,HSP,0808,2000-04-BFW-03-808,00-Package_Generation,-,2000-04,WATER,196,0,9.5,0,6.5,,,6.5,0,0,✓,,,,,,,,,,,,,,,,,,,
01-Execution,HSP,0809,2000-04-BFW-04-809,00-Package_Generation,-,2000-04,VISUAL,0,0,17,0,17,,,17,0,0,✓,,,,,,,,,,,,,,,,,,,
01-Execution,HSP,0810,2000-04-BFW-05-810,01-Welding in progress,-,2000-04,WATER,194.2,0,453.75,15,132.75,15,0,441.75,309,0.699490662139219,✓,,,,,,,,,,,,,,,,,,,
01-Execution,HSP,0837,2000-01-PRC-01-837,01-Welding in progress,-,2000-01,DEM WATER,120,0,236.5,8,32.25,8,0,233.5,201.25,0.861884368308351,✓,,,,,,,,,,,,15,,,,,1,0,16
01-Execution,HSP,0848,2000-02-HPS-03-848,01-Welding in progress,-,2000-02,WATER,221.7,0,61.5,1,33.5,1,0,83,49.5,0.596385542168675,✓,,,,,,,,,,,,4,,2,,,1,0,5
01-Execution,HSP,0868,2000-02-HPS-04-868,01-Welding in progress,-,2000-02,DEM WATER,91.6,0,490.25,6,58.75,6,0,489.5,430.75,0.879979570990807,✓,,,,,,,,,,,,12,,,,,3,0,15
01-Execution,HSP,0870,4000-02-BFW-02-870,01-Welding in progress,A,4000-02,WATER,289.3,0,44,0,4.75,2,2,42,37.25,0.886904761904762,✓,,,,,,,,,,,,3,,,,,0,2,5
01-Execution,HSP,0871,4000-02-BFW-03-871,01-Welding in progress,A,4000-02,WATER,289.3,0,57,0,6.75,3,3,54,47.25,0.875,✓,,,,,,,,,,,,7,,,,,0,0,7
01-Execution,HSP,0872,4000-02-BFW-04-872,01-Welding in progress,-,4000-02,WATER,289.3,0,63,2,11.25,2,0,60,48.75,0.8125,✓,,,,,,,,,,,,16,,,,,0,0,16
01-Execution,HSP,0873,4000-02-BFW-05-873,01-Welding in progress,-,4000-02,WATER,289.3,0,43.5,1,6.75,1,0,41.5,34.75,0.837349397590361,✓,,,,,,,,,,,,13,,,,,0,1,14
01-Execution,HSP,0874,4000-02-BFW-06-874,01-Welding in progress,-,4000-02,WATER,289.3,0,42.25,1,6.25,1,0,40.25,34,0.84472049689441,✓,,,,,,,,,,,,8,,,,,0,2,10
01-Execution,HSP,0882,1000-03-PRC-23-882,01-Welding in progress,-,1000-03,DEM WATER,93.1,0,207.5,14,23.5,14,0,206.75,183.25,0.8863361547763,✓,,,,,,,,,,,,19,,,,,1,0,20
01-Execution,HSP,0883,2000-05-PRC-23-883,01-Welding in progress,A,2000-05,DEM WATER,47.3,0,70,0,0,2,2,70,70,1,✓,,,,,,,,,,,,0,,,,,3,0,3
01-Execution,HSP,0884,2000-05-PRC-24-884,01-Welding in progress,A,2000-05,DEM WATER,112,0,82,0,0,2,2,82,82,1,✓,,,,,,,,,,,,8,,,,,3,1,12
01-Execution,HSP,0887,7000-01-PRC-01-887,01-Welding in progress,-,7000-01,WATER,5.2,0,76.5,5,6,5,0,75,69,0.92,✓,,,,,,,,,,,,5,,,,,0,0,5
01-Execution,HSP,0888,2000-03-PO-04-888,00-Package_Generation,-,2000-03,DEM WATER,82.5,0,9,0,9,,,9,0,0,✓,,,,,,,,,,,,,,,,,,,
01-Execution,HSP,0889,2000-03-PO-05-889,00-Package_Generation,-,2000-03,DEM WATER,91.4,0,503.5,6,503.5,6,0,503.5,0,0,✓,,,,,,,,,,,,,,,,,,,
01-Execution,HSP,0890,2000-03-PO-06-890,01-Welding in progress,-,2000-03,DEM WATER,82.5,0,162.75,4,82.75,4,0,162.75,80,0.491551459293395,✓,,,,,,,,,,,,,,,,,,,
01-Execution,HSP,0891,2000-03-PO-07-891,00-Package_Generation,-,2000-03,WATER,78.1,0,119.75,5,119.75,5,0,119.75,0,0,✓,,,,,,,,,,,,,,,,,,,
01-Execution,HSP,0892,2000-03-PO-08-892,00-Package_Generation,-,2000-03,DEM WATER,88.8,0,221.25,4,221.25,4,0,221.25,0,0,✓,,,,,,,,,,,,,,,,,,,
01-Execution,HSP,0893,2000-04-HHPS-02-893,01-Welding in progress,-,2000-04,WATER,197.6,0,75,0,30,,,75,45,0.6,✓,,,,,,,,,,,,1,,,,,0,0,1
01-Execution,HSP,0894,2000-04-HHPS-03-894,01-Welding in progress,-,2000-04,WATER,203.4,0,696.75,3,401.75,3,0,695.25,293.5,0.422150305645451,✓,,,,,,,,,,,,2,,,,,0,0,2
01-Execution,HSP,0895,2000-04-HHPS-04-895,01-Welding in progress,-,2000-04,WATER,196,0,751.5,6,501.25,6,0,751.5,250.25,0.333000665335995,✓,,,,,,,,,,,,0,,,,,0,5,5
